Baked Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"NABISCO, NABISCO GRAHAMS Crackers",28.0,1.0 serving,3.6 g,79.0 mg,6.99 g,23.0 g,10.0 g,76.2 g,424.0 kcal
"NABISCO, NABISCO OREO CRUNCHIES, Cookie Crumb Topping",11.0,1.0 serving,1.57 g,24.0 mg,4.78 g,36.0 g,21.5 g,70.23 g,476.0 kcal
"NABISCO, NABISCO RITZ Crackers",3.3,1.0 cracker,3.12 g,154.0 mg,7.23 g,8.14 g,23.21 g,63.51 g,492.0 kcal
"NABISCO, NABISCO SNACKWELL'S Fat Free Devil's Food Cookie Cakes",16.0,1.0 serving,17.65 g,30.0 mg,5.0 g,43.38 g,1.09 g,74.25 g,305.0 kcal
"Pan Dulce, LA RICURA, Salpora de Arroz con Azucar, cookie-like, contains wheat flour and rice flour",42.0,1.0 piece (1 serving),7.12 g,52.0 mg,8.81 g,21.86 g,16.11 g,66.28 g,445.0 kcal
"Pancakes plain, frozen, ready-to-heat (includes buttermilk)",28.35,1.0 oz,48.37 g,78.0 mg,5.23 g,8.32 g,6.83 g,37.75 g,233.0 kcal
"Pancakes, blueberry, prepared from recipe",28.35,1.0 oz,53.2 g,206.0 mg,6.1 g,-- g,9.2 g,29.0 g,222.0 kcal
"Pancakes, buckwheat, dry mix, incomplete",28.35,1.0 oz,9.1 g,476.0 mg,10.9 g,7.21 g,2.7 g,71.3 g,340.0 kcal
"Pancakes, buttermilk, prepared from recipe",28.35,1.0 oz,52.5 g,157.0 mg,6.8 g,-- g,9.3 g,28.7 g,227.0 kcal
"Pancakes, gluten-free, frozen, ready-to-heat",48.0,1.0 pancake,50.24 g,39.0 mg,3.31 g,4.06 g,4.55 g,40.32 g,215.0 kcal
"Pancakes, plain, dry mix, complete (includes buttermilk)",52.0,0.333 cup,9.05 g,344.0 mg,9.77 g,16.03 g,3.1 g,73.65 g,368.0 kcal
"Pancakes, plain, dry mix, complete, prepared",28.35,1.0 oz,53.0 g,126.0 mg,5.2 g,-- g,2.5 g,36.7 g,194.0 kcal
"Pancakes, plain, dry mix, incomplete (includes buttermilk)",28.35,1.0 oz,9.1 g,342.0 mg,10.0 g,2.21 g,1.7 g,73.6 g,355.0 kcal
"Pancakes, plain, dry mix, incomplete, prepared",28.35,1.0 oz,52.9 g,215.0 mg,7.8 g,-- g,7.7 g,28.9 g,218.0 kcal
"Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk)",28.35,1.0 oz,43.8 g,72.0 mg,5.88 g,7.06 g,4.73 g,43.33 g,239.0 kcal
"Pancakes, plain, low fat, dry mix, incomplete (includes buttermilk)",41.0,0.33 cup 1 serving,10.21 g,493.0 mg,7.4 g,-- g,6.17 g,74.69 g,384.0 kcal
"Pancakes, plain, prepared from recipe",28.35,1.0 oz,52.9 g,219.0 mg,6.4 g,-- g,9.7 g,28.3 g,227.0 kcal
"Pancakes, plain, reduced fat",105.0,1.0 serving 3 pancakes,33.34 g,57.0 mg,5.71 g,8.57 g,1.9 g,57.32 g,269.0 kcal
"Pancakes, special dietary, dry mix",28.35,1.0 oz,10.8 g,99.0 mg,8.9 g,-- g,1.4 g,73.9 g,349.0 kcal
"Pancakes, whole wheat, dry mix, incomplete",38.0,0.25 cup mix 1 serving,10.5 g,158.0 mg,10.53 g,-- g,1.32 g,74.11 g,350.0 kcal
"Pancakes, whole-wheat, dry mix, incomplete",28.35,1.0 oz,8.8 g,449.0 mg,12.8 g,-- g,1.5 g,71.0 g,344.0 kcal
"Pancakes, whole-wheat, dry mix, incomplete, prepared",28.35,1.0 oz,52.8 g,250.0 mg,8.5 g,-- g,6.5 g,29.4 g,208.0 kcal
"Pastry, Pastelitos de Guava (guava pastries)",86.0,1.0 piece,27.26 g,14.0 mg,5.48 g,17.0 g,18.5 g,47.76 g,379.0 kcal
"PEPPERIDGE FARM, 100% Whole Wheat Hamburger Buns",51.0,1.0 serving,37.1 g,195.0 mg,0.01 g,5.1 g,3.08 g,43.2 g,257.0 kcal
"PEPPERIDGE FARM, Cinnamon Swirl Bread",28.0,1.0 serving,31.0 g,75.0 mg,0.01 g,14.6 g,5.0 g,52.9 g,300.0 kcal
"PEPPERIDGE FARM, Deli Swirl Bread",32.0,1.0 serving,40.28 g,106.0 mg,0.01 g,2.8 g,3.1 g,44.7 g,247.0 kcal
"PEPPERIDGE FARM, Farmhouse 100% Whole Wheat Bread",43.0,1.0 serving,36.7 g,91.0 mg,0.01 g,7.21 g,4.81 g,46.1 g,269.0 kcal
"PEPPERIDGE FARM, Farmhouse Hearty White Bread",43.0,1.0 serving,34.8 g,74.0 mg,0.01 g,9.6 g,2.98 g,60.16 g,267.0 kcal
"PEPPERIDGE FARM, Farmhouse Oatmeal Bread",43.0,1.0 serving,34.4 g,72.0 mg,0.01 g,6.91 g,4.07 g,50.7 g,275.0 kcal
"PEPPERIDGE FARM, Farmhouse Sourdough Bread",43.0,1.0 serving,35.3 g,51.0 mg,0.01 g,4.7 g,3.53 g,50.3 g,269.0 kcal
"PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Cheddar",5.2,10.0 goldfish,3.17 g,114.0 mg,11.71 g,0.69 g,16.11 g,66.2 g,457.0 kcal
"PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Explosive Pizza",5.3,10.0 goldfish,3.5 g,47.0 mg,9.56 g,2.4 g,16.82 g,67.2 g,458.0 kcal
"PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Original",5.2,10.0 goldfish,3.47 g,74.0 mg,9.42 g,1.03 g,18.42 g,65.81 g,467.0 kcal
"PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Parmesan",5.3,10.0 goldfish,3.33 g,101.0 mg,11.16 g,0.83 g,17.29 g,64.7 g,459.0 kcal
"PEPPERIDGE FARM, Goldfish, Baked Snack Crackers, Pizza",5.1,10.0 goldfish,3.51 g,93.0 mg,9.67 g,0.86 g,18.93 g,65.11 g,469.0 kcal
"PEPPERIDGE FARM, Hamburger Bun",51.0,1.0 serving,33.3 g,153.0 mg,0.01 g,7.71 g,3.71 g,50.0 g,278.0 kcal
"PEPPERIDGE FARM, Hamburger Buns w/Sesame",53.0,1.0 serving,33.2 g,151.0 mg,0.01 g,7.21 g,4.08 g,49.9 g,280.0 kcal
"PEPPERIDGE FARM, Jewish Rye Bread (Seedless)",32.0,1.0 serving,38.98 g,82.0 mg,0.01 g,3.1 g,3.4 g,45.0 g,253.0 kcal
"PEPPERIDGE FARM, Light Style Wheat Bread",57.0,1.0 serving,36.4 g,139.0 mg,0.01 g,4.4 g,1.9 g,45.6 g,256.0 kcal
"PEPPERIDGE FARM, Pumpernickel Bread",32.0,1.0 serving,37.47 g,110.0 mg,0.01 g,-- g,3.4 g,46.9 g,259.0 kcal
"PEPPERIDGE FARM, Raisin Cinnamon Swirl Bread",28.0,1.0 serving,31.9 g,68.0 mg,0.01 g,17.1 g,5.0 g,52.1 g,286.0 kcal
"PEPPERIDGE FARM, Seeded Jewish Rye Bread",32.0,1.0 serving,37.68 g,71.0 mg,0.01 g,3.1 g,2.8 g,48.4 g,256.0 kcal
"PEPPERIDGE FARM, White Bread",45.0,1.0 serving,33.8 g,301.0 mg,0.01 g,-- g,5.1 g,50.2 g,280.0 kcal
"PEPPERIDGE FARM, White Hoagie Roll",69.0,1.0 serving,33.8 g,98.0 mg,0.01 g,4.8 g,8.7 g,50.7 g,296.0 kcal
"PEPPERIDGE FARM, Whole Grain 15 Grain Bread",43.0,1.0 serving,37.0 g,83.0 mg,0.01 g,6.5 g,4.9 g,45.8 g,270.0 kcal
"PEPPERIDGE FARM, Whole Grain Honey Whole Wheat Bread",43.0,1.0 serving,37.4 g,97.0 mg,0.01 g,8.1 g,3.5 g,47.7 g,263.0 kcal
"PEPPERIDGE FARM, Whole Grain Oatmeal Bread",43.0,1.0 serving,38.75 g,78.0 mg,0.01 g,7.2 g,3.7 g,46.5 g,258.0 kcal
Phyllo dough,28.35,1.0 oz,32.6 g,11.0 mg,7.1 g,0.18 g,6.0 g,52.6 g,299.0 kcal
"Pie Crust, Cookie-type, Chocolate, Ready Crust",182.0,1.0 crust,4.99 g,32.0 mg,6.08 g,26.31 g,22.42 g,64.48 g,484.0 kcal
"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",28.35,1.0 oz,4.37 g,29.0 mg,5.1 g,18.13 g,24.83 g,64.3 g,501.0 kcal
"Pie crust, cookie-type, prepared from recipe, graham cracker, chilled",30.0,"1.0 piece (1/8 of 9"" crust)",6.1 g,20.0 mg,4.1 g,37.57 g,24.4 g,63.9 g,484.0 kcal
"Pie crust, cookie-type, prepared from recipe, vanilla wafer, chilled",129.0,1.0 cup,8.5 g,42.0 mg,3.7 g,7.33 g,36.2 g,50.2 g,531.0 kcal
"Pie crust, deep dish, frozen, baked, made with enriched flour",202.0,1.0 pie crust (average weight),8.26 g,23.0 mg,6.1 g,-- g,31.84 g,52.47 g,521.0 kcal
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",225.0,1.0 pie crust (average weight),17.78 g,20.0 mg,5.52 g,-- g,28.74 g,46.79 g,468.0 kcal
"Pie crust, refrigerated, regular, baked",198.0,1.0 pie crust,7.96 g,12.0 mg,3.41 g,-- g,28.69 g,58.52 g,506.0 kcal
"Pie crust, refrigerated, regular, unbaked",229.0,1.0 pie crust (average weight),19.25 g,10.0 mg,2.97 g,-- g,25.46 g,51.11 g,445.0 kcal
"Pie crust, standard-type, dry mix",28.35,1.0 oz,7.6 g,61.0 mg,6.9 g,-- g,31.4 g,52.1 g,518.0 kcal
"Pie crust, standard-type, dry mix, prepared, baked",20.0,"1.0 piece (1/8 of 9"" crust)",10.6 g,60.0 mg,6.7 g,-- g,30.4 g,50.4 g,501.0 kcal
"Pie crust, standard-type, frozen, ready-to-bake, enriched",18.0,"1.0 piece (1/8 of 9"" crust)",17.82 g,19.0 mg,6.16 g,3.72 g,26.07 g,48.62 g,457.0 kcal
"Pie crust, standard-type, frozen, ready-to-bake, enriched, baked",154.0,1.0 pie crust (average weight of 1 baked crust),7.18 g,21.0 mg,6.5 g,4.23 g,28.59 g,56.24 g,508.0 kcal
"Pie crust, standard-type, frozen, ready-to-bake, unenriched",142.0,"1.0 crust, single 9""",21.0 g,18.0 mg,3.9 g,-- g,29.2 g,44.1 g,457.0 kcal
"Pie crust, standard-type, prepared from recipe, baked",23.0,"1.0 piece (1/8 of 9"" crust)",9.8 g,10.0 mg,6.4 g,0.17 g,34.6 g,47.5 g,527.0 kcal
"Pie crust, standard-type, prepared from recipe, unbaked",24.0,"1.0 piece (1/8 of 9"" crust)",19.7 g,9.0 mg,5.7 g,0.15 g,30.8 g,42.3 g,469.0 kcal
"Pie, apple, commercially prepared, enriched flour",28.35,1.0 oz,52.2 g,-- mg,1.9 g,15.65 g,11.0 g,34.0 g,237.0 kcal
"Pie, apple, commercially prepared, unenriched flour",28.35,1.0 oz,52.2 g,-- mg,1.9 g,-- g,11.0 g,34.0 g,237.0 kcal
"Pie, apple, prepared from recipe",28.35,1.0 oz,47.3 g,7.0 mg,2.4 g,-- g,12.5 g,37.1 g,265.0 kcal
"Pie, banana cream, prepared from mix, no-bake type",28.35,1.0 oz,50.9 g,73.0 mg,3.4 g,-- g,12.9 g,31.6 g,251.0 kcal
"Pie, banana cream, prepared from recipe",28.35,1.0 oz,47.9 g,75.0 mg,4.4 g,12.06 g,13.6 g,32.9 g,269.0 kcal
"Pie, blueberry, commercially prepared",28.35,1.0 oz,52.5 g,8.0 mg,1.8 g,9.89 g,10.0 g,34.9 g,232.0 kcal
"Pie, blueberry, prepared from recipe",28.35,1.0 oz,51.2 g,7.0 mg,2.7 g,-- g,11.9 g,33.5 g,245.0 kcal
"Pie, cherry, commercially prepared",28.35,1.0 oz,46.2 g,12.0 mg,2.0 g,14.29 g,11.0 g,39.8 g,260.0 kcal
"Pie, cherry, prepared from recipe",28.35,1.0 oz,45.8 g,10.0 mg,2.8 g,-- g,12.2 g,38.5 g,270.0 kcal
"Pie, chocolate creme, commercially prepared",120.0,1.0 serving .167 pie,33.92 g,66.0 mg,4.15 g,27.39 g,22.41 g,38.44 g,353.0 kcal
"Pie, chocolate mousse, prepared from mix, no-bake type",28.35,1.0 oz,49.7 g,77.0 mg,3.5 g,-- g,15.4 g,29.6 g,260.0 kcal
"Pie, coconut cream, prepared from mix, no-bake type",28.35,1.0 oz,49.7 g,72.0 mg,2.8 g,-- g,17.6 g,28.5 g,276.0 kcal
"Pie, coconut creme, commercially prepared",28.35,1.0 oz,43.2 g,29.0 mg,2.1 g,18.52 g,16.6 g,37.3 g,298.0 kcal
"Pie, coconut custard, commercially prepared",28.35,1.0 oz,49.2 g,81.0 mg,5.9 g,-- g,13.2 g,30.2 g,260.0 kcal
"Pie, Dutch Apple, Commercially Prepared",131.0,"0.125 pie 1 pie (1/8 of 9"" pie)",41.09 g,14.0 mg,2.17 g,22.02 g,11.5 g,44.54 g,290.0 kcal
"Pie, egg custard, commercially prepared",28.35,1.0 oz,60.9 g,80.0 mg,5.5 g,11.58 g,11.6 g,20.8 g,210.0 kcal
"Pie, fried pies, cherry",28.35,1.0 oz,37.6 g,22.0 mg,3.0 g,-- g,16.1 g,42.6 g,316.0 kcal
"Pie, fried pies, fruit",28.35,1.0 oz,37.6 g,22.0 mg,3.0 g,21.4 g,16.1 g,42.6 g,316.0 kcal
"Pie, fried pies, lemon",28.35,1.0 oz,37.6 g,22.0 mg,3.0 g,-- g,16.1 g,42.6 g,316.0 kcal
"Pie, lemon meringue, commercially prepared",28.35,1.0 oz,41.7 g,56.0 mg,1.5 g,23.86 g,8.7 g,47.2 g,268.0 kcal
"Pie, lemon meringue, prepared from recipe",28.35,1.0 oz,43.3 g,12.0 mg,3.8 g,-- g,12.9 g,39.1 g,285.0 kcal
"Pie, mince, prepared from recipe",28.35,1.0 oz,37.4 g,22.0 mg,2.6 g,28.31 g,10.8 g,48.0 g,289.0 kcal
"Pie, peach",28.35,1.0 oz,54.4 g,8.0 mg,1.9 g,16.23 g,10.0 g,32.9 g,224.0 kcal
"Pie, pecan, commercially prepared",28.35,1.0 oz,18.25 g,22.0 mg,4.5 g,25.18 g,16.69 g,59.61 g,407.0 kcal
"Pie, pecan, prepared from recipe",28.35,1.0 oz,19.5 g,32.0 mg,4.9 g,-- g,22.2 g,52.2 g,412.0 kcal
"Pie, pumpkin, commercially prepared",28.35,1.0 oz,50.39 g,64.0 mg,3.9 g,18.88 g,9.75 g,34.83 g,243.0 kcal
"Pie, pumpkin, prepared from recipe",28.35,1.0 oz,58.5 g,94.0 mg,4.5 g,-- g,9.3 g,26.4 g,204.0 kcal
"Pie, vanilla cream, prepared from recipe",28.35,1.0 oz,47.0 g,90.0 mg,4.8 g,12.68 g,14.4 g,32.6 g,278.0 kcal
"PILLSBURY Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",34.0,1.0 serving,35.5 g,-- mg,5.88 g,-- g,13.24 g,41.18 g,307.0 kcal
"PILLSBURY GRANDS, Buttermilk Biscuits, refrigerated dough",34.0,1.0 biscuit,36.12 g,23.0 mg,6.16 g,4.6 g,11.34 g,42.41 g,293.0 kcal
"PILLSBURY, Buttermilk Biscuits, Artificial Flavor, refrigerated dough",64.0,1.0 biscuit,39.89 g,23.0 mg,6.4 g,4.46 g,2.79 g,47.07 g,236.0 kcal
"PILLSBURY, Chocolate Chip Cookies, refrigerated dough",38.0,1.0 serving 2 cookies,12.78 g,14.0 mg,3.82 g,37.67 g,21.26 g,60.75 g,450.0 kcal
"PILLSBURY, Cinnamon Rolls with Icing, refrigerated dough",44.0,1.0 serving 1 roll with icing,27.86 g,28.0 mg,4.34 g,21.34 g,11.27 g,53.42 g,330.0 kcal
"PILLSBURY, Crusty French Loaf, refrigerated dough",52.0,1.0 serving,38.82 g,19.0 mg,8.59 g,5.06 g,2.88 g,46.35 g,243.0 kcal
"Popovers, dry mix, enriched",28.35,1.0 oz,11.7 g,32.0 mg,10.4 g,-- g,4.3 g,71.0 g,371.0 kcal
"Popovers, dry mix, unenriched",28.35,1.0 oz,11.7 g,32.0 mg,10.4 g,-- g,4.3 g,71.0 g,371.0 kcal
"Puff pastry, frozen, ready-to-bake",28.35,1.0 oz,8.5 g,10.0 mg,7.3 g,0.74 g,38.1 g,45.1 g,551.0 kcal
"Puff pastry, frozen, ready-to-bake, baked",28.35,1.0 oz,-- g,10.0 mg,7.4 g,0.75 g,38.5 g,45.7 g,558.0 kcal
"Rolls, dinner, egg",28.35,1.0 oz,30.4 g,59.0 mg,9.5 g,4.3 g,6.4 g,52.0 g,307.0 kcal
"Rolls, dinner, oat bran",28.35,1.0 oz,44.0 g,85.0 mg,9.5 g,6.67 g,4.6 g,40.2 g,236.0 kcal
"Rolls, dinner, plain, commercially prepared (includes brown-and-serve)",28.0,1.0 roll (1 oz),28.44 g,178.0 mg,10.86 g,5.55 g,6.47 g,52.04 g,310.0 kcal
"Rolls, dinner, plain, prepared from recipe, made with low fat (2%) milk",28.35,1.0 oz,29.1 g,60.0 mg,8.5 g,-- g,7.3 g,53.4 g,316.0 kcal
"Rolls, dinner, rye",43.0,"1.0 large (approx 3-1/2"" to 4"" dia)",30.1 g,30.0 mg,10.3 g,1.17 g,3.4 g,53.1 g,286.0 kcal
"Rolls, dinner, sweet",30.0,1.0 roll,27.83 g,62.0 mg,10.04 g,15.38 g,7.37 g,53.58 g,321.0 kcal
"Rolls, dinner, wheat",28.0,1.0 roll (1 oz),37.0 g,176.0 mg,8.6 g,1.63 g,6.3 g,46.0 g,273.0 kcal
"Rolls, dinner, whole-wheat",28.0,1.0 roll (1 oz),33.1 g,106.0 mg,8.7 g,8.46 g,4.7 g,51.1 g,266.0 kcal
"Rolls, french",28.35,1.0 oz,34.8 g,91.0 mg,8.6 g,0.31 g,4.3 g,50.2 g,277.0 kcal
"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and potato starch",36.0,1.0 roll,28.3 g,82.0 mg,7.99 g,9.53 g,6.4 g,55.1 g,310.0 kcal
"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour",69.0,1.0 roll,44.6 g,41.0 mg,5.65 g,2.98 g,8.2 g,40.24 g,257.0 kcal
"Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch",78.0,1.0 roll,42.0 g,180.0 mg,3.34 g,6.87 g,2.65 g,50.47 g,239.0 kcal
"Rolls, gluten-free, whole grain, made with tapioca starch and brown rice flour",44.0,1.0 roll,29.9 g,118.0 mg,11.8 g,4.2 g,11.6 g,44.29 g,329.0 kcal
"Rolls, hamburger or hot dog, wheat/cracked wheat",51.0,1.0 roll,35.23 g,196.0 mg,11.69 g,6.9 g,3.61 g,47.31 g,269.0 kcal
"Rolls, hamburger or hot dog, whole wheat",56.0,1.0 roll,35.92 g,198.0 mg,12.38 g,5.92 g,4.38 g,44.93 g,269.0 kcal
"Rolls, hamburger or hotdog, mixed-grain",28.35,1.0 oz,38.0 g,95.0 mg,9.6 g,6.25 g,6.0 g,44.6 g,263.0 kcal
"Rolls, hamburger or hotdog, plain",44.0,1.0 roll 1 serving,34.34 g,144.0 mg,9.77 g,7.28 g,3.91 g,50.12 g,279.0 kcal
"Rolls, hamburger or hotdog, reduced-calorie",28.35,1.0 oz,46.0 g,59.0 mg,8.3 g,4.76 g,2.0 g,42.1 g,196.0 kcal
"Rolls, hamburger, whole grain white, calcium-fortified",43.0,1.0 piece roll,38.67 g,233.0 mg,9.3 g,-- g,3.49 g,46.5 g,255.0 kcal
"Rolls, hard (includes kaiser)",28.35,1.0 oz,31.0 g,95.0 mg,9.9 g,1.77 g,4.3 g,52.7 g,293.0 kcal
"Rolls, pumpernickel",36.0,"1.0 medium (2-1/2"" dia)",32.0 g,67.0 mg,10.8 g,0.4 g,2.8 g,51.87 g,276.0 kcal
"RUDI'S, Gluten-Free Bakery, Original Sandwich Bread",34.0,1.0 slice,31.67 g,24.0 mg,3.13 g,8.36 g,10.7 g,52.83 g,320.0 kcal
"SAGE VALLEY, Gluten Free Vanilla Sandwich Cookies",44.0,3.0 cookies,2.06 g,17.0 mg,3.13 g,43.94 g,22.15 g,71.88 g,499.0 kcal
"SCHAR, Gluten-Free, Classic White Rolls",78.0,1.0 roll,42.0 g,180.0 mg,3.34 g,6.87 g,2.65 g,50.47 g,239.0 kcal
"Strudel, apple",28.35,1.0 oz,43.5 g,15.0 mg,3.3 g,25.75 g,11.2 g,41.1 g,274.0 kcal
"SUNSHINE, CHEEZ-IT, 100 Calorie RIGHT BITES, Extra Cheesy Party Mix",21.0,1.0 pouch,3.0 g,-- mg,8.5 g,2.7 g,17.4 g,65.3 g,473.0 kcal
"SUNSHINE, CHEEZ-IT, 100 Calorie Right Bites, Reduced Fat",21.0,1.0 package,2.3 g,137.0 mg,13.3 g,0.8 g,14.6 g,67.0 g,452.0 kcal
"SUNSHINE, CHEEZ-IT, Asiago Crackers",30.0,25.0 crackers,2.3 g,-- mg,8.7 g,1.3 g,24.7 g,62.6 g,502.0 kcal
"SUNSHINE, CHEEZ-IT, Baby Swiss Crackers",30.0,25.0 crackers,2.3 g,-- mg,8.6 g,1.4 g,24.7 g,63.1 g,503.0 kcal
"SUNSHINE, CHEEZ-IT, BIG Crackers",30.0,13.0 crackers,2.3 g,147.0 mg,11.4 g,0.5 g,26.3 g,57.4 g,507.0 kcal
"SUNSHINE, CHEEZ-IT, Cheddar Jack Crackers",30.0,25.0 crackers,2.3 g,103.0 mg,9.5 g,1.2 g,22.0 g,57.6 g,460.0 kcal
"SUNSHINE, CHEEZ-IT, Colby Crackers",30.0,25.0 crackers,2.3 g,104.0 mg,9.55 g,1.2 g,26.85 g,59.25 g,512.0 kcal
"SUNSHINE, CHEEZ-IT, Crackers (made with Whole Grain)",30.0,27.0 crackers,2.3 g,116.0 mg,10.7 g,0.5 g,26.5 g,58.2 g,511.0 kcal
"SUNSHINE, CHEEZ-IT, Duoz Sharp Cheddar Parmesan Crackers",30.0,25.0 crackers,2.3 g,89.0 mg,9.7 g,1.5 g,25.0 g,60.5 g,500.0 kcal
"SUNSHINE, CHEEZ-IT, Duoz Smoked Cheddar Monterey Jack Crackers",30.0,25.0 crackers,2.3 g,75.0 mg,9.0 g,0.9 g,25.9 g,60.8 g,507.0 kcal
"SUNSHINE, CHEEZ-IT, Hot &amp; Spicy Crackers",30.0,25.0 crackers,2.5 g,-- mg,8.3 g,1.0 g,26.1 g,61.2 g,513.0 kcal
"SUNSHINE, CHEEZ-IT, Italian Four Cheese Crackers",30.0,25.0 crackers,2.3 g,-- mg,8.4 g,0.7 g,24.6 g,62.4 g,500.0 kcal
"SUNSHINE, CHEEZ-IT, Mozzarella Crackers",30.0,25.0 crackers,2.3 g,-- mg,8.6 g,1.4 g,23.8 g,64.1 g,500.0 kcal
"SUNSHINE, CHEEZ-IT, Original Crackers",30.0,27.0 crackers,2.3 g,147.0 mg,11.4 g,0.5 g,26.3 g,57.4 g,507.0 kcal
"SUNSHINE, CHEEZ-IT, Parmesan Garlic Crackers",30.0,25.0 crackers,2.5 g,-- mg,8.5 g,1.6 g,25.1 g,62.0 g,503.0 kcal
"SUNSHINE, CHEEZ-IT, Pepper Jack Crackers",30.0,25.0 crackers,2.3 g,-- mg,8.8 g,0.8 g,25.0 g,61.9 g,503.0 kcal
"SUNSHINE, CHEEZ-IT, Reduced Fat Crackers",30.0,29.0 crackers,2.3 g,137.0 mg,13.3 g,0.8 g,14.5 g,67.0 g,449.0 kcal
"SUNSHINE, CHEEZ-IT, Scrabble Jr. Crackers",30.0,26.0 crackers,2.0 g,-- mg,10.9 g,0.6 g,17.3 g,67.9 g,466.0 kcal
"SUNSHINE, CHEEZ-IT, Snack Mix",30.0,0.5 cup,3.0 g,84.0 mg,9.0 g,2.2 g,15.2 g,66.7 g,438.0 kcal
"SUNSHINE, CHEEZ-IT, Snack Mix, White Cheddar",30.0,0.5 cup 25 crackers,2.6 g,-- mg,8.55 g,2.15 g,20.6 g,65.7 g,473.0 kcal
"SUNSHINE, CHEEZ-IT, White Cheddar, Reduced Fat Crackers",30.0,25.0 crackers,2.2 g,-- mg,9.7 g,1.2 g,13.6 g,72.0 g,443.0 kcal
"SUNSHINE, GRIPZ, Cheez-It Crackers",25.0,1.0 package,2.5 g,113.0 mg,11.0 g,0.5 g,23.2 g,61.0 g,491.0 kcal
"SUNSHINE, GRIPZ, Cheez-It Mixx and Cheesy Pizza Crackers",25.0,1.0 pouch,2.9 g,-- mg,10.8 g,1.0 g,21.3 g,63.7 g,484.0 kcal
"SUNSHINE, KRISPY, Soup &amp; Oyster Crackers (large)",15.0,16.0 crackers,2.5 g,-- mg,8.6 g,2.4 g,9.3 g,76.1 g,416.0 kcal
"Sweet rolls, cheese",28.35,1.0 oz,29.4 g,118.0 mg,7.1 g,-- g,18.3 g,43.7 g,360.0 kcal
"Sweet rolls, cinnamon, commercially prepared with raisins",28.35,1.0 oz,24.8 g,72.0 mg,6.2 g,31.73 g,16.4 g,50.9 g,372.0 kcal
"Sweet rolls, cinnamon, refrigerated dough with frosting",28.35,1.0 oz,28.9 g,31.0 mg,5.0 g,-- g,12.2 g,51.6 g,333.0 kcal
"Sweet rolls, cinnamon, refrigerated dough with frosting, baked",28.35,1.0 oz,22.7 g,34.0 mg,5.4 g,-- g,13.2 g,56.1 g,362.0 kcal
"Taco shells, baked",12.9,1.0 shell,6.4 g,100.0 mg,6.41 g,1.5 g,21.79 g,63.49 g,476.0 kcal
"Taco shells, baked, without added salt",28.35,1.0 oz,6.0 g,160.0 mg,7.2 g,-- g,22.6 g,62.4 g,468.0 kcal
"Toaster pastries, brown-sugar-cinnamon",28.35,1.0 oz,14.09 g,293.0 mg,4.06 g,27.24 g,7.98 g,72.64 g,370.0 kcal
"Toaster pastries, fruit (includes apple, blueberry, cherry, strawberry)",28.35,1.0 oz,14.33 g,16.0 mg,4.2 g,26.13 g,9.95 g,70.32 g,388.0 kcal
"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",53.0,1.0 piece,14.04 g,12.0 mg,4.01 g,31.0 g,9.02 g,71.83 g,385.0 kcal
"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",51.0,1.0 pastry,10.46 g,11.0 mg,4.7 g,28.99 g,11.03 g,72.7 g,409.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S LOW FAT POP TARTS, Frosted brown sugar cinnamon",50.0,1.0 pastry,12.75 g,200.0 mg,4.7 g,30.5 g,5.9 g,73.7 g,366.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S LOW FAT POP TARTS, Frosted strawberry",50.0,1.0 pastry,12.75 g,200.0 mg,4.2 g,29.4 g,5.4 g,74.4 g,363.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Blueberry",52.0,1.0 pastry,12.5 g,24.0 mg,4.6 g,30.9 g,13.3 g,68.41 g,412.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Brown sugar cinnamon",50.0,1.0 pastry,10.5 g,31.0 mg,5.4 g,25.4 g,18.4 g,64.4 g,438.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted blueberry",52.0,1.0 pastry,12.5 g,24.0 mg,4.6 g,31.2 g,10.0 g,71.77 g,391.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted brown sugar cinnamon",50.0,1.0 pastry,11.3 g,-- mg,4.6 g,32.3 g,13.8 g,69.0 g,417.0 kcal
